RA;QUADRIMESTRE
11001214;2022.3
11001415;2022.3
11002215;2022.3
11002606;2022.3
11003114;2022.3
11003215;2022.3
11003716;2022.3
11004214;2022.3
11004716;2022.3
11004816;2022.3
11005014;2022.3
11005515;2022.3
11006111;2022.3
11006312;2022.3
11006316;2022.3
11007015;2022.3
11007716;2022.3
11008114;2022.3
11008516;2022.3
11008814;2022.3
11009412;2022.3
11010115;2022.3
11011216;2022.3
11011916;2022.3
11012211;2022.3
11012215;2022.3
11014108;2022.3
11014416;2022.3
11015510;2022.3
11015713;2022.3
11016315;2022.3
11016714;2022.3
11016716;2022.3
11016914;2022.3
11017814;2022.3
11018213;2022.3
11019211;2022.3
11019314;2022.3
11020514;2022.3
11020516;2022.3
11022015;2022.3
11022316;2022.3
11022713;2022.3
11022815;2022.3
11023915;2022.3
11024815;2022.3
11025011;2022.3
11025616;2022.3
11025815;2022.3
11027716;2022.3
11028013;2022.3
11028416;2022.3
11028912;2022.3
11029307;2022.3
11029713;2022.3
11030815;2022.3
11031110;2022.3
11031115;2022.3
11031216;2022.3
11032111;2022.3
11032311;2022.3
11033011;2022.3
11033115;2022.3
11033213;2022.3
11033915;2022.3
11034216;2022.3
11034715;2022.3
11034716;2022.3
11034912;2022.3
11035313;2022.3
11036014;2022.3
11036116;2022.3
11036715;2022.3
11037311;2022.3
11038214;2022.3
11038215;2022.3
11038216;2022.3
11038916;2022.3
11039411;2022.3
11039414;2022.3
11039814;2022.3
11040514;2022.3
11040915;2022.3
11041015;2022.3
11041413;2022.3
11041615;2022.3
11042115;2022.3
11042416;2022.3
11043215;2022.3
11043616;2022.3
11043711;2022.3
11044212;2022.3
11044213;2022.3
11044516;2022.3
11044712;2022.3
11044812;2022.3
11045415;2022.3
11045512;2022.3
11045914;2022.3
11046108;2022.3
11047012;2022.3
11047414;2022.3
11048115;2022.3
11050816;2022.3
11050915;2022.3
11051815;2022.3
11052316;2022.3
11053113;2022.3
11053414;2022.3
11054016;2022.3
11057415;2022.3
11057814;2022.3
11058516;2022.3
11058815;2022.3
11058915;2022.3
11059016;2022.3
11061315;2022.3
11062014;2022.3
11062216;2022.3
11062312;2022.3
11062916;2022.3
11063515;2022.3
11063716;2022.3
11064016;2022.3
11064116;2022.3
11064215;2022.3
11064516;2022.3
11064914;2022.3
11065111;2022.3
11065715;2022.3
11065816;2022.3
11066516;2022.3
11067216;2022.3
11067415;2022.3
11068116;2022.3
11068514;2022.3
11069014;2022.3
11071116;2022.3
11071216;2022.3
11071316;2022.3
11071815;2022.3
11072214;2022.3
11072313;2022.3
11072512;2022.3
11072616;2022.3
11072915;2022.3
11073316;2022.3
11073612;2022.3
11073816;2022.3
11074015;2022.3
11074112;2022.3
11074114;2022.3
11074215;2022.3
11074514;2022.3
11074613;2022.3
11075515;2022.3
11076015;2022.3
11076216;2022.3
11076816;2022.3
11077013;2022.3
11077315;2022.3
11077614;2022.3
11077715;2022.3
11077811;2022.3
11077913;2022.3
11077915;2022.3
11078010;2022.3
11078312;2022.3
11079214;2022.3
11079512;2022.3
11079616;2022.3
11080416;2022.3
11080815;2022.3
11081016;2022.3
11081112;2022.3
11081114;2022.3
11081116;2022.3
11081211;2022.3
11082015;2022.3
11082415;2022.3
11082814;2022.3
11083713;2022.3
11084308;2022.3
11084615;2022.3
11085016;2022.3
11085615;2022.3
11085916;2022.3
11086312;2022.3
11086515;2022.3
11086616;2022.3
11087116;2022.3
11087215;2022.3
11087415;2022.3
11087513;2022.3
11087911;2022.3
11088316;2022.3
11088816;2022.3
11089316;2022.3
11089514;2022.3
11090509;2022.3
11090714;2022.3
11091416;2022.3
11092016;2022.3
11092209;2022.3
11092616;2022.3
11092815;2022.3
11093212;2022.3
11093213;2022.3
11093514;2022.3
11093613;2022.3
11093616;2022.3
11093713;2022.3
11093716;2022.3
11093914;2022.3
11094116;2022.3
11094614;2022.3
11094916;2022.3
11095316;2022.3
11095414;2022.3
11096415;2022.3
11096416;2022.3
11096716;2022.3
11097713;2022.3
11098515;2022.3
11098716;2022.3
11099015;2022.3
11099516;2022.3
11099916;2022.3
11100016;2022.3
11100516;2022.3
11100612;2022.3
11101916;2022.3
11102014;2022.3
11102411;2022.3
11103316;2022.3
11104016;2022.3
11104313;2022.3
11105313;2022.3
11106416;2022.3
11106812;2022.3
11107215;2022.3
11107416;2022.3
11108316;2022.3
11108511;2022.3
11108514;2022.3
11108613;2022.3
11109215;2022.3
11109316;2022.3
11109512;2022.3
11109514;2022.3
11109710;2022.3
11109716;2022.3
11110013;2022.3
11110414;2022.3
11111616;2022.3
11111914;2022.3
11112114;2022.3
11112416;2022.3
11112711;2022.3
11112810;2022.3
11113915;2022.3
11114414;2022.3
11114615;2022.3
11114915;2022.3
11114916;2022.3
11115514;2022.3
11115614;2022.3
11115914;2022.3
11116210;2022.3
11116514;2022.3
11117810;2022.3
11118016;2022.3
11119615;2022.3
11120215;2022.3
11120615;2022.3
11121714;2022.3
11122915;2022.3
11123015;2022.3
11125515;2022.3
11126110;2022.3
11126115;2022.3
11129511;2022.3
11129911;2022.3
11130811;2022.3
11161309;2022.3
11170809;2022.3
21000117;2022.3
21001112;2022.3
21001317;2022.3
21002515;2022.3
21002716;2022.3
21002816;2022.3
21003712;2022.3
21004615;2022.3
21004916;2022.3
21005216;2022.3
21005413;2022.3
21005516;2022.3
21006815;2022.3
21006916;2022.3
21007016;2022.3
21007516;2022.3
21009515;2022.3
21010814;2022.3
21010816;2022.3
21011410;2022.3
21012013;2022.3
21012014;2022.3
21012313;2022.3
21012710;2022.3
21013314;2022.3
21013316;2022.3
21013716;2022.3
21015115;2022.3
21015516;2022.3
21016816;2022.3
21017415;2022.3
21017616;2022.3
21017813;2022.3
21018416;2022.3
21018516;2022.3
21019611;2022.3
21020016;2022.3
21020311;2022.3
21020512;2022.3
21021610;2022.3
21021716;2022.3
21022016;2022.3
21022316;2022.3
21023214;2022.3
21023513;2022.3
21023612;2022.3
21023916;2022.3
21024416;2022.3
21025015;2022.3
21025314;2022.3
21025414;2022.3
21026112;2022.3
21026215;2022.3
21026711;2022.3
21026816;2022.3
21027512;2022.3
21028512;2022.3
21028916;2022.3
21029215;2022.3
21029613;2022.3
21029716;2022.3
21030115;2022.3
21031316;2022.3
21031815;2022.3
21032912;2022.3
21033911;2022.3
21034213;2022.3
21036615;2022.3
21037812;2022.3
21039616;2022.3
21039715;2022.3
21040814;2022.3
21042215;2022.3
21042216;2022.3
21043114;2022.3
21044016;2022.3
21044216;2022.3
21044916;2022.3
21045215;2022.3
21045514;2022.3
21045616;2022.3
21046516;2022.3
21046914;2022.3
21047216;2022.3
21047315;2022.3
21047516;2022.3
21049115;2022.3
21050515;2022.3
21050715;2022.3
21051913;2022.3
21052415;2022.3
21052616;2022.3
21052715;2022.3
21052816;2022.3
21053014;2022.3
21054615;2022.3
21054916;2022.3
21055316;2022.3
